username,content
GhiffariDKI,"Kami mendengar dan merasa jeritanmu Tapi nga pake Nangis,Seluruh Kader PDemokrat
Menolak kenaikan Harga BBM,

@PDemokratjkt
@AgusYudhoyono
@RAMujiyono

#21TahunPartaiDemokrat
#PerjuangkanHarapanRakyat https://t.co/KYgfjbNhPy"
Darwan45537622,"@OposisiCerdas Hanya Peduli  Proyek Kereta Cepat dan IKN.
Pemerintah  amat kejam di tengah kondisi masyarakat yang berada di bawah himpitan ekonomi yg sulit dgn teganya justru menaikkan harga BBM,” kata Achmad Nur Padahal  saat ini harga minyak dunia sedang turun.
https://t.co/Uu7SynzavC"
Thavit_Amoura,"BEM DAN GERAM GELAR DEMO PENOLAKAN KENAIKAN HARGA BBM, INI TUNTUTAN YANG DISAMPAIKAN. 

#BangkitAtauTertindas 
#BangkitAtauTertindas 

https://t.co/qWqRs9ehIL"
Irfqn_,"Kebijakan ini tentu menguntungkan korporat dan merugikan rakyat, sebab harus membeli BBM dengan harga yang relatif mahal."
duckbusterr,"Jalanan kotanya ditata rapi, tarif angkutan umum massalnya ga menyulitkan warga yg tinggal di DKI semuanya serba dimudahkan, meskipun presiden yg gw ga tau siapa itulah namanya gw sudah muak sebut namanya menaikkan harga BBM, tp pak Anies mendengar suara hati warganya! ""Salut"" 👏🏼 https://t.co/8k5o2rsq5L"
Irfqn_,"Karena itu, diduga kuat pencabutan subsidi BBM dan pelarangan BBM beroktan rendah adalah untuk melepas harga BBM ke pasar, sehingga produk BBM korporasi asing dapat bersaing dengan Pertamina @pertamina ."
Irfqn_,"Dengan kondisi masyarakat yang sebagian besar bertaraf hidup menengah ke bawah, BBM dengan harga murah masih menjadi pilihan."
Irfqn_,Apalagi sejak lama diketahui bahwa ada upaya pemerintah; yakni Pertamina @pertamina untuk melepas harga BBM ke pasar.
Darwan45537622,"@CNNIndonesia Hanya Peduli  Proyek Kereta Cepat dan IKN.
Pemerintah  amat kejam di tengah kondisi masyarakat yang berada di bawah himpitan ekonomi yg sulit dgn teganya justru menaikkan harga BBM,” kata Achmad Nur Padahal  saat ini harga minyak dunia sedang turun.
https://t.co/Uu7SynzavC"
ZettaZahra2,"@AzwarmanM Vivo-Revvo 89 (sebelum Pertamina menaikkan harga BBM) sudah menurunkan harga Revvo89.

Pertamina menaikkan harga BBM, konsumen beralih ke Vivo-Revvo89, Dirjen ESDM meminta Vivo ^menyesuaikan^ (menaikkan) harga.

https://t.co/greQuApkeO"
