username;Sentiment;content
GhiffariDKI;Negatif;kami mendengar dan merasa jeritanmu tapi nga pake nangis seluruh kader pdemokrat menolak kenaikan harga bbm         
Darwan45537622;Negatif; hanya peduli  proyek kereta cepat dan ikn  pemerintah  amat kejam di tengah kondisi masyarakat yang berada di bawah himpitan ekonomi yg sulit dgn teganya justru menaikkan harga bbm   kata achmad nur padahal  saat ini harga minyak dunia sedang turun  
Thavit_Amoura;Negatif;bem dan geram gelar demo penolakan kenaikan harga bbm  ini tuntutan yang disampaikan         
Irfqn_;Negatif;kebijakan ini tentu menguntungkan korporat dan merugikan rakyat  sebab harus membeli bbm dengan harga yang relatif mahal 
duckbusterr;Netral;jalanan kotanya ditata rapi  tarif angkutan umum massalnya ga menyulitkan warga yg tinggal di dki semuanya serba dimudahkan  meskipun presiden yg gw ga tau siapa itulah namanya gw sudah muak sebut namanya menaikkan harga bbm  tp pak anies mendengar suara hati warganya   salut   clapping hands medium light skin tone  
Irfqn_;Positif;karena itu  diduga kuat pencabutan subsidi bbm dan pelarangan bbm beroktan rendah adalah untuk melepas harga bbm ke pasar  sehingga produk bbm korporasi asing dapat bersaing dengan pertamina   
Irfqn_;Positif;dengan kondisi masyarakat yang sebagian besar bertaraf hidup menengah ke bawah  bbm dengan harga murah masih menjadi pilihan 
Irfqn_;Negatif;apalagi sejak lama diketahui bahwa ada upaya pemerintah  yakni pertamina  untuk melepas harga bbm ke pasar 
Darwan45537622;Negatif; hanya peduli  proyek kereta cepat dan ikn  pemerintah  amat kejam di tengah kondisi masyarakat yang berada di bawah himpitan ekonomi yg sulit dgn teganya justru menaikkan harga bbm   kata achmad nur padahal  saat ini harga minyak dunia sedang turun  
ZettaZahra2;Netral; vivo revvo     sebelum pertamina menaikkan harga bbm  sudah menurunkan harga revvo     pertamina menaikkan harga bbm  konsumen beralih ke vivo revvo    dirjen esdm meminta vivo  menyesuaikan   menaikkan  harga   
abi_daawud;Negatif; basi isu kau  gimna bbm yg naik di tengah harga minyak dunia yang turun  gimna kcic yg super kocak dari presiden yg bisanya cuma naik naikin harga pajak   kedunguan kalian pamerkan karna menutupi kedunguan hakiki dari penguasa gk becus negri ini 
Snyopi;Negatif;struggling dgn harga bbm trs ngepublish data my pertamina tuh dr mana hubungannya  yg ada org mah pusing udh hrg pd naek kudu rajin  ganti pass trs nginget  td apaan ya wkwk  lagian pejabat  mang ada yg pake mypertamina  isi bensin aja kaga pernah  ajudannya yg ngisi 
oktavina_risa;Negatif;tolak kenaikan harga bbm  serikat buruh akan gelar aksi sebulan penuh  
purnomoe110;Negatif;tolak kenaikan harga bbm  aliansi buruh bekasi melawan rencanakan unjuk rasa    september  
sukardi_angeldi;Negatif;tolak kenaikan harga bbm  aliansi buruh bekasi melawan rencanakan unjuk rasa    september 
Bunga_Que;Negatif;tuntutan mahasiswa dalam aksi penolakan kenaikan harga bbm dibanten        
Tribun_Bogor;Negatif;berlaku mulai hari ini  tarif ojol resmi naik ikuti harga bbm  catat ini perubahan harganya    lewat 
NetizenBerisik;Negatif;massa aksi jebol pagar gedung dprd indramayu tolak kenaikan harga bbm     sept         
S_AhmadAbuLayla;Negatif;mau pilih yg mana           mari kita bangkit bersama  tolak kenaikan harga bbm    
MensosJ;Negatif;mana parpol lain yg pro rakyat tolak kenaikan harga bbm bersubsidi   
infoMKS_;Netral;pengelola jasa ekspedisi di makassar sesuaikan tarif setelah harga bbm naik 
SaifuddinSay;Netral;pemrintah malaysia menghitung dg patokan dolar  amp  harga minyak dunia yg sama  dpt harga bbm ron     kualitas pertamax plus  tanpa subsidi sebesar rp         knp  simple sj jawabnya    petronasnya bekerja  bs produksi     jt barel hari   pertamina    jt     pemerintahnya peduli 
Thavit_Amoura;Negatif;penolakan kenaikan harga bbm berlanjut  massa mahasiswa unjuk rasa di monas         
Sumsel_RMOL;Negatif;    hari senin  elemen ormas islam akan geruduk istana negara tolak kenaikan harga bbm 
hnurwahid;Negatif;  saya juga akan turun dalam rangkaian flashmob nasional  bersama kader  dan simpatisan   membela amp membersamai rakyat yg makin susah akibat dinaikkannya harga bbm di saat daya beli mrk belum naik  di saat harga minyak dunia turun    
Ponorogo_Berkah;Negatif;potret hari ke   tolak kenaikan harga bbm  buruh dan mahasiswa masih berdemonstrasi di berbagai daerah  
akundihackmulu;Negatif;  tolol   harga bbm naik  sementara bansos dikaitkan dengan penghasilan dibwh     jt   lo kira di jateng umrnya brp  justru gw pintar  itu artinya pekerja jateng akan merasakan beratnya kenaikan bbm  dongok lu 
andre_julian411;Negatif;tolak kenaikan harga bbm  aliansi buruh bekasi melawan rencanakan unjuk rasa    september 
PolsekBunturaj8;Positif;kegiatan personel polsek bunturaja melaksanakan pengamanan pendistribusian bansos blt  bantuan bbm  serta sembako kepada masyarakat di kantor pos bunturaja  memberikan himbauan agar masyarakat agar tidak antusias terhadap kenaikan harga bbm  
KompasTV;Negatif;cerita perajin anyaman eceng gondok  tak terdampak pandemi tapi harga bahan naik seiring harga bbm  
thepappito;Negatif;semalam pakai taksol  drivernya sedang gundah  jika tarif naik  penumpang akan berkurang     kenaikan tarif ojek online  ojol  mulai berlaku hari ini  kementerian perhubungan menaikkan tarif ojol seiring kenaikan harga bahan bakar minyak  bbm  
tans_trisna;Negatif; udah hancur harga harga di pasar karena kenaikan bbm kemarin apa bisa normal lagi dgn di turunkan lagi   mangkanya pake otak dan hati nurani kalau mau bikin keputusan tuh  hot face 
conan_idn;Positif; emak makanya sekolah  atau bacalah soal daya beli masyarakat jika bbm naik lagi dan lagi   atau bacalah harga bbm di negara tetangga spt malaysia berapa   atau simaklah apa kata permadi dan jokowi ini  paham gak mak  payah kalo gak paham  
jpnncom;Positif; pemkab cianjur salurkan blt dampak kenaikan harga bbm    
Bunga_Que;Negatif;ribuan buruh gelar aksi demo penolakan kenaikan harga bbm serentak di berbagai daerah        
Thavit_Amoura;Negatif;jokowi harus segera cabut kenaikan harga bbm karena bahaya bagi eksistensi pemerintahan di akhir masa jabatannya         
Sumari59;Negatif;sumari minta kerugian         triliun sebagai suku cadang khas negara perwakilan umkm  dampak kenaikan harga bbm            
LamanRiauCom;Positif;beruntungnya jadi pegawai bumn  harga bbm naik  gaji pun bakal naik 
Ibnxine;Negatif;orang bego begini kok bisa dijadikan menteri  hanya utang bisa dan bikin harga bbm naik selangit   
UsniErlangga;Positif;  jika harga bbm turun  apa yg tdk demo ttp beli yg harga mahal  apa nggak senang juga klo harga turun  apa klo anis jadi presiden untuk kptgn pribadi  cuma yg lain aja untuk negara  grimacing face  grimacing face  grimacing face  grimacing face sdt pandang picik  positip lihat saja tupoksi presiden jadi nyapres bkn kptgn pribadi klpk  
ShowbizLite;Positif;harga bbm naik  pengemudi ojol bahagia dapat bantuan sembako 
KontanNews;Positif;meksi harga bbm naik  btn masih yakin bisa penuhi target penyaluran kredit  
